User,Time,Comment
九尾黑猫,2008-12-05 20:26:21,['怎么说呢，其实就是普通中学生浪漫爱情的那些事儿，没觉得怎么打动人，男主角一副欠扁的样子']
小岩菽,2007-08-21 16:41:39,['总是看着身后比你更远的地方。不知不觉那就成了我们的距离。可即使我只看着你，你也变成那些距离我越来越远的事。']
littletwo,2008-05-22 21:23:31,['听到一个13岁小男人温情脉脉又脆弱又煎熬的内心读白还真把我恶心到了……']
结崎枣,2007-08-13 03:39:49,['每一帧都细到能截下做桌面TAT']
WiTS,2010-02-16 04:14:40,['适合以五倍速观看；一星给画作']
Minjie,2010-04-13 22:30:01,['这么多年过去了，总有些事情你不愿再提。']
桃桃淘电影,2011-03-28 21:38:42,['额，这个确实可以帧帧截图当桌面。又是无法当面说爱你，新海诚童年一定在此类事件上受过打击。以至于反复重复这一话题。']
克哈克奴斯,2013-01-27 18:02:58,['闷骚得要死，活该你们见不着。。 换成是银桑的话，这故事五秒就演完了，还他妈的等13年。']
眼角的花朵,2008-05-27 11:16:11,['这就是新海诚带来的心灵之旅，带来的我们灵魂身处的某种感动。这个故事描述的是这样一种青涩而又真挚的感情，它甚至远远的比缠绵悱恻的爱情珍贵，那是人间最为纯真的爱，不需要任何基础和依靠的爱，不需要停泊和追逐永恒的爱，因为它本身就是永远。']
小米=qdmimi,2009-07-06 19:24:34,['好多壁纸……']
庚桑野,2010-04-14 20:50:56,['人老了，纯爱看不下去了。']
文泽尔,2008-02-09 23:55:18,['青春就是放弃和怀念']
陈二菜,2011-12-16 23:03:44,['我被这骨子里无病呻吟的小清新故事雷了个外焦里嫩，不过回首当年，我也无病呻吟过，青春不就那么回事儿么']
张小强,2011-02-19 18:47:56,['这片是不是就一男两女？已经无聊到不想看懂的地步了 &amp; 又看到很多用片名做标签的怪人']
大头绿豆,2011-11-06 13:02:47,['（樱花树下接吻的）「那一瞬间，我仿佛知道了永远、心灵以及灵魂的所在，仿佛将十三年间的一切都分享给了对方。这之后的下一瞬，是无比的悲伤。因为明里的温暖，她的灵魂，我不知该如何珍藏，带向何方。」第一话无比喜爱，那一夜刻骨铭心的等待，现在不会有了。二三话减分。']
小波福娃,2009-06-15 11:55:03,['好废柴好废油好废神']
阿猴HOSEA,2008-02-28 10:48:58,['日本人名就是难记。。我第一遍看还以为讲了三个故事。。。后来干脆从头又看一遍，，，']
User,Time,Comment
嘉沐難再續.K,2009-03-02 11:00:28,['我不是很喜欢。']
同志亦凡人中文站,2013-02-05 06:43:35,['有过那样单纯的初恋，往后的人生就是一个不断失去的过程啊... 中学谈过恋爱的不要看，杀很大。']
艾小柯,2011-04-17 18:29:47,['人生中那些无可救药的美丽哀愁与残酷现实']
王老虎,2008-06-19 20:05:36,['在4秒零9。。我接住你~']
妙可中国,2017-03-24 01:56:23,['每次看过这种空洞乏味、不知所以又节奏慢的作品后总会感叹时间又被残忍剥夺了，所幸这片仅仅一个小时，可怜这么棒的主题曲插在这坨屎上。']
深海的心,2008-10-20 21:41:02,['画面这个美啊']
亵渎电影,2011-03-08 03:34:31,['画面太美了，算是日本纯爱片的典范了，可以我对于这类初恋的朦胧情感向来没感觉。★★★']
海樹,2007-02-22 11:02:55,['他还是适合短片。这画面已经好到及至了吧……']
沉歌,2009-03-28 03:05:42,['又见樱花坠地的一秒，往事再次漫溢——时间的距离、空间的阻隔、年少的记忆，唏嘘了多少那些青郁时光中的无奈与感伤']
UrthónaD&#39;Mors,2011-06-04 22:55:28,['一个城市又怎样，遇到了又如何，各有各的生活，各有各的哀乐，何不如相濡以沫，不如相忘于江湖']
九只苍蝇撞墙,2017-04-09 11:49:59,['真的那么好么？我怎么觉得是一男一女在背景里一直看着明信片画面呻吟']
顾俏乜,2017-04-20 21:26:16,['让我最触动的是第二话的那位女生，至始至终都未说出自己的心迹，可以在冲浪上不断突破自己，在感情上却无能为力，小心翼翼地，徒增悲伤。']
猫君,2011-03-14 00:34:13,['究竟要用怎样的速度生活，才能再与你相逢。']
赫恩曼尼,2016-12-29 23:56:46,['多年以后，回想起那一幕，你穿过铁道线，火车车厢一节节闪过。我知道你回了头，我也是。可时过境迁，一切都变了，一次回眸又怎样？我们的时代终究还是过去了。']
cattylee33,2017-10-29 17:16:37,['以秒速五厘米的速度离开13年，再重逢，只有回不了的过去。阵阵悲凉。']
默默的蘑菇,2016-11-04 12:48:00,['很漂亮，然而也只是漂亮而已。被吹过了。']
