英雄,关键词,胜率,图片链接,本月使用人数,本月使用人数排名,热门物品,技能,天赋
敌法师,antimage,48.6157,http://cdn.max-c.com/app/dota2/antimage@3x.png,2960247,22,"['狂战斧', '幻影斧', '动力鞋', '深渊之刃', '怨灵系带', '蝴蝶', '圆盾', '碎颅锤', '黑皇杖']","['[法力损毁 ] 每次攻击损毁目标一定量的魔法值，并额外造成相当于损毁魔法值50%的伤害。  tips: 法力损毁对技能免疫单位无效。 受到吸血光环的效果就能根据该技能造成的伤害吸血。 ', '[闪烁 ] 让敌法师自由出入战场的短距离传送。  tips: 闪烁可以躲避多种飞行过程中的攻击和技能弹道。 ', '[法术反制 ] 被动提升魔法抗性。可以主动开启，创造一个围绕自身的反魔法外壳，将所有指向性技能反弹给敌人，自己则不受任何影响。 ', '[法力虚空 ] 根据目标损失的魔法值，对目标和其周围的敌人造成伤害。主要目标受到短暂眩晕。  可用神杖升级。  tips: 眩晕效果无视技能免疫。 伤害的计算根据主目标失去的魔法，但是对作用范围内所有敌人均有效。 ']","['天赋1：', '+20 攻击速度', '+10 力量', '天赋2：', '+15 敏捷', '+400 闪烁施法距离', '天赋3：', '-2.5秒 闪烁冷却', '闪烁产生不可控幻象', '天赋4：', '-50秒 法力虚空冷却', '+25% 法术反制魔法抗性']"
斧王,axe,51.1712,http://cdn.max-c.com/app/dota2/axe@3x.png,3464671,13,"['闪烁匕首', '刃甲', '静谧之鞋', '赤红甲', '先锋盾', '恐鳌之心', '相位鞋', '黑皇杖', '魔杖']","['[狂战士之吼 ] 斧王嘲讽附近的敌方单位，强迫他们攻击自己，同时获得额外护甲。  tips: 效果无视技能免疫。 ', '[战斗饥渴 ] 激怒一个敌方单位，使他受到减速和持续伤害，直到他杀死一个单位或者持续时间结束为止。斧王从每个受战斗饥渴影响的敌人身上获得移动速度加成，非英雄单位提供半额效果。  可用神杖升级。  tips: 摧毁建筑也能移除该状态效果。 受到战斗饥渴作用的单位无法被反补。 ', '[反击螺旋 ] 受攻击时，斧王做出螺旋反击，对附近所有敌方单位造成纯粹伤害。  tips: 反击螺旋会在斧王受到攻击时触发。 ', '[淘汰之刃 ] 斧王寻找弱点来出击，直接秒杀低血量的敌方单位，血量如果过高则只造成一定伤害。当秒杀的是敌方英雄时，本技能不会进入冷却时间。同时斧王和附近友军单位获得移动速度加成。 ']","['天赋1：', '+40 攻击速度', '+8 力量', '天赋2：', '+30 移动速度', '+3 魔法恢复', '天赋3：', '攻击触发反击螺旋', '+25 生命恢复', '天赋4：', '+120 战斗饥渴每秒伤害', '+100 狂战士之吼范围']"
祸乱之源,bane,47.7407,http://cdn.max-c.com/app/dota2/bane@3x.png,622892,106,"['以太透镜', '奥术鞋', '魔杖', '微光披风', '速度之靴', '侦查·岗哨守卫', '显影之尘', '静谧之鞋', '原力法杖']","['[虚弱 ] 削弱一个敌方单位，降低它的状态抗性和攻击速度。  tips: 虚弱无法被净化。 ', '[蚀脑 ] 暴食一个敌方单位的生命能量，造成伤害并回复自身生命值。  可用神杖升级。 ', '[噩梦 ] 让目标敌方或友方英雄进入沉睡。睡着的单位受到攻击便会醒来，但噩梦将转移到攻击者身上。祸乱之源可以随意攻击噩梦中的目标。  tips: 在噩梦的第一秒，作用单位是无敌状态。 祸乱之源可以把自己从噩梦中唤醒。 ', '[魔爪 ] 持续施法 - 抓住一个敌方单位，使其失去行动能力并持续受到大量伤害，同时每0.5秒按目标最大魔法值一定比例吸取魔法。  tips: 魔爪的控制和吸魔效果对技能免疫单位有效，但是不造成伤害。 ', '[噩梦终止 ] 将所有人从噩梦中唤醒。 ']","['天赋1：', '+100 施法距离', '+7 护甲', '天赋2：', '+40% 经验获取', '虚弱窃取攻击速度', '天赋3：', '+50 移动速度', '+125 虚弱降低攻击速度', '天赋4：', '+7秒 魔爪持续时间', '+250 蚀脑伤害/治疗']"
嗜血狂魔,bloodseeker,50.7369,http://cdn.max-c.com/app/dota2/bloodseeker@3x.png,1845228,51,"['刃甲', '黑皇杖', '相位鞋', '散夜对剑', '动力鞋', '辉耀', '圆盾', '怨灵系带', '压制之刃']","['[血怒 ] 让一个单位陷入渴望鲜血的狂怒中，使其在持续时间内造成和承受的伤害都会被加深。血怒状态下的单位杀死任一单位后将回复阵亡单位最大生命值的一定百分比；血怒状态下的单位被击杀则击杀者也将回复阵亡单位最大生命值的一定百分比。若未击杀英雄但300范围内有英雄阵亡将回复50%数值。  tips: 血怒可以对敌方单位、友方单位以及血魔自身施放。 伤害的制造者和承受者双方距离若超过2200范围则伤害加深效果减半。 ', '[血祭 ] 血魔用圣血为一片区域洗礼。3.0秒后祭祀完成，区域范围内所有敌人都会受到伤害，并被沉默。  tips: 总时间为0.4秒的施法时间加上2.6秒的生效延迟。 ', '[焦渴 ] 血魔能够感知到敌人的伤口中涌出的鲜血，只要敌方英雄的生命值低于75%，他的移动速度和攻击速度就会提升，而且生命值越低，提升效果越大。如果生命值低于25%，他还将获得该英雄的视野和真实视域。焦渴的效果可以叠加。  tips: 幻象不能触发该技能。 移动速度和攻击速度加成在敌人生命值低于25%时达到上限。 目标死亡后效果延续4秒。 ', '[割裂 ] 让一个敌方单位皮开肉绽。每移动100距离都将根据移动的距离受到伤害。伤害效果无视技能免疫。  可用神杖升级。 ']","['天赋1：', '+6 护甲', '+25 攻击速度', '天赋2：', '+75 血祭伤害', '+275 生命', '天赋3：', '25% 吸血', '+600 割裂施法距离', '天赋4：', '+18% 焦渴最大移速', '-6秒 血祭冷却']"
水晶室女,crystal_maiden,53.1872,http://cdn.max-c.com/app/dota2/crystal_maiden@3x.png,3274535,16,"['静谧之鞋', '微光披风', '闪烁匕首', '魔杖', '黑皇杖', '侦查·岗哨守卫', '阿哈利姆神杖', '原力法杖', '显影之尘']","['[冰霜新星 ] 召唤具有破坏性的冰爆，降低目标区域内的敌人的移动和攻击速度。 ', '[冰封禁制 ] 操控冰霜包围一个敌方单位，禁止移动和攻击，并持续造成伤害。对6级以下的普通单位施放将产生10秒的持续时间。  tips: 受到冰封禁制的作用将无法使用闪烁类技能。 ', '[奥术光环 ] 提升地图上所有友方单位的魔法回复速度。水晶室女自身获得更高的回复速度。  tips: 与其他额外魔法恢复叠加。 魔法恢复加成并不是按百分比提升魔法恢复。 ', '[极寒领域 ] 持续施法 - 以水晶室女为中心召唤冰晶轰炸敌人，将其减速并造成大量伤害。持续施法期间提供护甲加成。持续10秒。  可用神杖升级。  tips: 减速效果对作用范围内所有敌人有效，即使他们没有受到冰爆的伤害（效果持续1秒）。 每0.1秒产生一次爆炸，总共爆炸100次。 ']","['天赋1：', '+100 施法距离', '+250 生命', '天赋2：', '+150 金钱/分', '+14% 光环降低魔法消耗/损失', '天赋3：', '+60 极寒领域伤害', '+250 攻击速度', '天赋4：', '+300 冰霜新星伤害', '+1.5秒 冰封禁制持续时间']"
卓尔游侠,drow_ranger,49.5428,http://cdn.max-c.com/app/dota2/drow_ranger@3x.png,2839383,23,"['怨灵系带', '动力鞋', '飓风长戟', '影刃', '魔龙枪', '黑皇杖', '蝴蝶', '幻影斧', '白银之锋']","['[霜冻之箭 ] 卓尔游侠在箭矢中附上冰冻效果，减缓敌人的移动速度。对英雄持续1.5秒，对普通单位持续7.0秒。  tips: 减速的持续时间在下一支冰箭射中后刷新。 ', '[狂风 ] 释放一阵狂风，沉默敌方单位并将其击退。击退距离与敌人和卓尔游侠的距离成反比。 ', '[精准光环 ] 提高所有友方远程英雄的攻击速度，提升数值是卓尔游侠敏捷值的一定百分比。施放后对所有普通单位生效，持续30秒。 ', '[射手天赋 ] 卓尔游侠的战斗经验使她有概率发出极其精准高效的箭矢。箭矢将穿透敌人的防御，无视他们的基础护甲。立刻击杀非英雄单位，并且击中英雄时额外造成物理伤害。如果400范围内有敌方英雄，本技能没有效果。  可用神杖升级。 ']","['天赋1：', '+5 全属性', '+20 移动速度', '天赋2：', '+30% 狂风致盲', '+14 敏捷', '天赋3：', '+3秒 狂风沉默', '25% 闪避', '天赋4：', '50% 冷却时间减少', '+25% 精准光环攻击速度']"
撼地者,earthshaker,49.8399,http://cdn.max-c.com/app/dota2/earthshaker@3x.png,5071059,6,"['闪烁匕首', '奥术鞋', '阿哈利姆神杖', '魔杖', 'Eul的神圣法杖', '原力法杖', '灵魂之戒', '圆盾', '显影之尘']","['[沟壑 ] 用威武的图腾猛击地面，制造一条无法通过的岩脊。同时眩晕沿线的敌方单位并造成伤害。  tips: 小兵将会等待沟壑消失，不会去尝试绕开它。 沟壑不会被林肯法球抵挡。 ', '[强化图腾 ] 强化撼地者的图腾，下次攻击获得额外攻击力。  可用神杖升级。  tips: 攻击力加成是基于基础攻击力和主属性数值。 装备神杖后双击技能会像原来一样施放，不会跳跃。 强化图腾拥有克敌机先效果。 ', '[余震 ] 撼地者施放技能时会引起脚下的大地震动，眩晕附近的敌方单位并造成额外伤害。  tips: 使用物品不会触发余震。 ', '[回音击 ] 冲击波透过地面传播，对敌方单位造成伤害。每个受到攻击的敌人都会产生回音，再次对附近单位造成伤害。英雄本体将产生两次回音。 ']","['天赋1：', '+250 魔法', '+30 攻击力', '天赋2：', '+7 护甲', '+30 移动速度', '天赋3：', '+400 沟壑距离', '+50 回音击回音伤害', '天赋4：', '-2秒 强化图腾冷却', '+50% 魔法抗性']"
主宰,juggernaut,50.6348,http://cdn.max-c.com/app/dota2/juggernaut@3x.png,5767118,4,"['相位鞋', '幻影斧', '雷神之锤', '怨灵系带', '魔杖', '蝴蝶', '漩涡', '狂战斧', '碎颅锤']","['[剑刃风暴 ] 舞起具有破坏性力量的剑刃风暴，对主宰周围的敌方单位造成伤害，并使主宰对魔法免疫。  驱散类型：弱驱散  tips: 剑刃风暴期间可以使用物品。 主宰在施放剑刃风暴的过程中依然可以进行物理攻击。但是只有不受剑刃风暴伤害的单位，如守卫和建筑才会受到这些物理伤害。 总共造成450/575/700/800点伤害。 按等级总共造成400/525/650/775点伤害。 ', '[治疗守卫 ] 召唤一个治疗守卫，按周围友军单位最大生命值的一定比例治疗他们。治疗守卫可以移动，移动速度为350。持续25秒。  tips: 可以控制治疗守卫。 多个治疗守卫的效果不会叠加。 ', '[剑舞 ] 主宰有一定概率在攻击时触发致命一击。 ', '[无敌斩 ] 主宰挥剑跃向敌人，随后再以更短的攻击频率斩击附近的其它敌方单位。主宰在无敌斩期间无敌。  可用神杖升级。  tips: 无敌斩期间可以使用物品。 可以对技能免疫单位施放。 每次斩击的间隔是0.4秒。 小兵和中立生物只须一次斩击就被秒杀。 ']","['天赋1：', '+20 移动速度', '+5 全属性', '天赋2：', '+20 攻击速度', '+50 剑刃风暴移动速度', '天赋3：', '+100 剑刃风暴每秒伤害', '+10 护甲', '天赋4：', '+1秒 无敌斩持续时间', '+600 生命']"
米拉娜,mirana,50.9773,http://cdn.max-c.com/app/dota2/mirana@3x.png,2669524,29,"['怨灵系带', '相位鞋', '漩涡', '动力鞋', '魔杖', '雷神之锤', '幻影斧', '阿哈利姆神杖', '净魂之刃']","['[群星风暴 ] 召唤一波流星砸向附近的敌方单位。425范围内最近的敌方单位将会再受到一次75%伤害的冲击。  可用神杖升级。  tips: 群星风暴不会被林肯法球抵挡。 群星风暴不能伤害隐身单位。 如果原本要打击的目标死亡，群星风暴的第二次星落会重新选择一个目标。 ', '[月神之箭 ] 射出一支绝对精准的箭矢，对第一个击中的敌人造成伤害并眩晕目标。目标距离越远，眩晕时间越长，最短0.01秒，最长可达5.0秒。根据箭矢飞行的距离还将对目标额外造成最多140点伤害。若击中的是非远古的普通单位，将直接秒杀。  tips: 神箭每飞行150码，中箭后眩晕的持续时间将提高0.5秒，额外伤害增加14点。 月神之箭可以射中隐身单位。 ', '[跳跃 ] 米拉娜的坐骑向前跳跃加入战斗，发出一声凶狠的咆哮鼓舞它的主人，提升攻击和移动速度。速度加成持续2.5秒。 ', '[月之暗面 ] 让米拉娜和所有己方英雄进入隐身状态。只要还在月光阴影的持续时间内，即使隐身被打破也会在短时间内重新淡入隐身。  tips: 受到作用的单位会自动停止攻击敌人。 技能免疫状态下的队友也会受到作用。 ']","['天赋1：', '+200 生命', '+15 攻击力', '天赋2：', '+80 跳跃攻击速度', '-5秒 月神之箭冷却', '天赋3：', '+25 法力损毁', '+12% 技能增强', '天赋4：', '-70秒 月之暗面冷却', '+2 月神之箭齐发']"
变体精灵,morphling,44.9924,http://cdn.max-c.com/app/dota2/morphling@3x.png,1867658,50,"['怨灵系带', '动力鞋', '虚灵之刃', '吸血面具', '林肯法球', '幻影斧', '魔杖', '斯嘉蒂之眼', '黑皇杖']","['[波浪形态 ] 变体精灵化为波浪向前涌进，对路径上的敌人造成伤害。变体精灵在波浪形态中是无敌的。 ', '[变体攻击（敏捷） ] 用猛烈的水波打击一个敌方单位，造成的伤害为基础伤害加上变体精灵自身敏捷值乘以伤害系数的额外伤害。如果变体精灵的敏捷比力量高50%，将造成最大伤害。  tips: 弹道速度为1150。 ', '[变体攻击（力量） ] 用猛烈的水波打击一个敌方单位，根据变体精灵自身力量值造成眩晕和击退。如果变体精灵的力量比敏捷高50%，将造成最大眩晕/击退。  tips: 弹道速度为1150。 ', '[属性变换（敏捷获取） ] 变体精灵改变它的形态，将一些力量转化成敏捷。该过程可逆。升级此技能将提高转化速率。被动获得敏捷加成。  tips: 不能转化物品提供的属性加成。 ', '[属性变换（力量获取） ] 变体精灵改变它的形态，将一些敏捷转化成力量。该过程可逆。升级此技能将提高转化速率。被动获得力量加成。  tips: 在变体精灵受到眩晕效果时属性变换依然有效，但是受到沉默作用就无法转换。 属性变换不能转换物品提供的属性加成。 ', '[变形 ] 使自身向敌方目标改变，获得其基础技能。技能持续时间内可以来回切换。  可用神杖升级。  tips: 变体精灵自身及其控制的单位不能作为变形的目标。 ', '[替换复制体 ] 变体精灵替换它的复制体，瞬间将其取代。 ']","['天赋1：', '+350 波浪形态距离', '+10 敏捷', '天赋2：', '+30 攻击速度', '+20秒 变形持续时间', '天赋3：', '波浪形态攻击目标', '15% 冷却时间减少', '天赋4：', '+3 变体攻击多个目标', '2 波浪形态能量点数']"
